country;date;vaccination;isocode
Afghanistan;2020-02-29;0.0;AFG
Afghanistan;2020-03-31;0.0;AFG
Afghanistan;2020-04-30;0.0;AFG
Afghanistan;2020-05-31;0.0;AFG
Afghanistan;2020-06-30;0.0;AFG
Afghanistan;2020-07-31;0.0;AFG
Afghanistan;2020-08-31;0.0;AFG
Afghanistan;2020-09-30;0.0;AFG
Afghanistan;2020-10-31;0.0;AFG
Afghanistan;2020-11-30;0.0;AFG
Afghanistan;2020-12-31;0.0;AFG
Afghanistan;2021-01-31;0.0;AFG
Afghanistan;2021-02-28;0.0;AFG
Afghanistan;2021-03-31;0.0;AFG
Afghanistan;2021-04-30;0.0;AFG
Afghanistan;2021-05-16;0.0;AFG
Africa;2020-02-29;0.0;OWID_AFR
Africa;2020-03-31;0.0;OWID_AFR
Africa;2020-04-30;0.0;OWID_AFR
Africa;2020-05-31;0.0;OWID_AFR
Africa;2020-06-30;0.0;OWID_AFR
Africa;2020-07-31;0.0;OWID_AFR
Africa;2020-08-31;0.0;OWID_AFR
Africa;2020-09-30;0.0;OWID_AFR
Africa;2020-10-31;0.0;OWID_AFR
Africa;2020-11-30;0.0;OWID_AFR
Africa;2020-12-31;0.0;OWID_AFR
Africa;2021-01-31;0.0;OWID_AFR
Africa;2021-02-28;19.094611391564744;OWID_AFR
Africa;2021-03-31;298.0047458861372;OWID_AFR
Africa;2021-04-30;364.438152838128;OWID_AFR
Africa;2021-05-16;446.13213624596534;OWID_AFR
Albania;2020-02-29;0.0;ALB
Albania;2020-03-31;0.0;ALB
Albania;2020-04-30;0.0;ALB
Albania;2020-05-31;0.0;ALB
Albania;2020-06-30;0.0;ALB
Albania;2020-07-31;0.0;ALB
Albania;2020-08-31;0.0;ALB
Albania;2020-09-30;0.0;ALB
Albania;2020-10-31;0.0;ALB
Albania;2020-11-30;0.0;ALB
Albania;2020-12-31;0.0;ALB
Albania;2021-01-31;0.0;ALB
Albania;2021-02-28;0.0;ALB
Albania;2021-03-31;0.0;ALB
Albania;2021-04-30;0.0;ALB
Albania;2021-05-16;0.0;ALB
Algeria;2020-02-29;0.0;DZA
Algeria;2020-03-31;0.0;DZA
Algeria;2020-04-30;0.0;DZA
Algeria;2020-05-31;0.0;DZA
Algeria;2020-06-30;0.0;DZA
Algeria;2020-07-31;0.0;DZA
Algeria;2020-08-31;0.0;DZA
Algeria;2020-09-30;0.0;DZA
Algeria;2020-10-31;0.0;DZA
Algeria;2020-11-30;0.0;DZA
Algeria;2020-12-31;0.0;DZA
Algeria;2021-01-31;0.0;DZA
Algeria;2021-02-28;0.0;DZA
Algeria;2021-03-31;0.0;DZA
Algeria;2021-04-30;0.0;DZA
Algeria;2021-05-16;0.0;DZA
Andorra;2020-03-31;0.0;AND
Andorra;2020-04-30;0.0;AND
Andorra;2020-05-31;0.0;AND
Andorra;2020-06-30;0.0;AND
Andorra;2020-07-31;0.0;AND
Andorra;2020-08-31;0.0;AND
Andorra;2020-09-30;0.0;AND
Andorra;2020-10-31;0.0;AND
Andorra;2020-11-30;0.0;AND
Andorra;2020-12-31;0.0;AND
Andorra;2021-01-31;0.0;AND
Andorra;2021-02-28;0.0;AND
Andorra;2021-03-31;0.0;AND
Andorra;2021-04-30;0.0;AND
Andorra;2021-05-16;0.0;AND
Angola;2020-03-31;0.0;AGO
Angola;2020-04-30;0.0;AGO
Angola;2020-05-31;0.0;AGO
Angola;2020-06-30;0.0;AGO
Angola;2020-07-31;0.0;AGO
Angola;2020-08-31;0.0;AGO
Angola;2020-09-30;0.0;AGO
Angola;2020-10-31;0.0;AGO
Angola;2020-11-30;0.0;AGO
Angola;2020-12-31;0.0;AGO
Angola;2021-01-31;0.0;AGO
Angola;2021-02-28;0.0;AGO
Angola;2021-03-31;0.0;AGO
Angola;2021-04-30;0.0;AGO
Angola;2021-05-16;0.0;AGO
Anguilla;2021-02-28;0.0;AIA
Anguilla;2021-03-31;0.0;AIA
Anguilla;2021-04-22;5219.304092787628;AIA
Antigua and Barbuda;2020-03-31;0.0;ATG
Antigua and Barbuda;2020-04-30;0.0;ATG
Antigua and Barbuda;2020-05-31;0.0;ATG
Antigua and Barbuda;2020-06-30;0.0;ATG
Antigua and Barbuda;2020-07-31;0.0;ATG
Antigua and Barbuda;2020-08-31;0.0;ATG
Antigua and Barbuda;2020-09-30;0.0;ATG
Antigua and Barbuda;2020-10-31;0.0;ATG
Antigua and Barbuda;2020-11-30;0.0;ATG
Antigua and Barbuda;2020-12-31;0.0;ATG
Antigua and Barbuda;2021-01-31;0.0;ATG
Antigua and Barbuda;2021-02-28;0.0;ATG
Antigua and Barbuda;2021-03-31;0.0;ATG
Antigua and Barbuda;2021-04-30;0.0;ATG
Antigua and Barbuda;2021-05-16;0.0;ATG
Argentina;2020-01-31;0.0;ARG
Argentina;2020-02-29;0.0;ARG
Argentina;2020-03-31;0.0;ARG
Argentina;2020-04-30;0.0;ARG
Argentina;2020-05-31;0.0;ARG
Argentina;2020-06-30;0.0;ARG
Argentina;2020-07-31;0.0;ARG
Argentina;2020-08-31;0.0;ARG
Argentina;2020-09-30;0.0;ARG
Argentina;2020-10-31;0.0;ARG
Argentina;2020-11-30;0.0;ARG
Argentina;2020-12-31;0.0;ARG
Argentina;2021-01-31;0.0;ARG
Argentina;2021-02-28;649.2464992912944;ARG
Argentina;2021-03-31;1498.799323662474;ARG
